Filename,# of code changes,Code churn %
tooling/metamodel-generator/src/test/java/org/hibernate/jpamodelgen/test/util/TestUtil.java,5423,85.80%
tooling/metamodel-generator/src/test/java/org/hibernate/jpamodelgen/test/util/CompilationStatement.java,5418,85.90%
spi}/TransactionCoordinatorBuilder.java,111293,11.26%
spi}/TransactionCoordinator.java,111264,11.25%
spi}/SynchronizationRegistry.java,111259,11.25%
query/internal/ParameterMetadataImpl.java},148608,13.02%
procedure/ProcedureParameterBinding.java},138419,10.79%
hibernate-testing/src/main/java/org/hibernate/testing/logger/TriggerOnPrefixLogListener.java,6961,84.89%
hibernate-testing/src/main/java/org/hibernate/testing/logger/LoggerInspectionRule.java,6939,85.01%
hibernate-testing/src/main/java/org/hibernate/testing/junit4/TestClassMetadata.java,144833,11.73%
hibernate-testing/src/main/java/org/hibernate/testing/junit4/CustomRunner.java,144831,11.73%
hibernate-testing/src/main/java/org/hibernate/testing/junit4/CustomParameterized.java,144829,11.73%
hibernate-testing/src/main/java/org/hibernate/testing/junit4/ClassLoadingIsolater.java,100816,13.42%
hibernate-testing/src/main/java/org/hibernate/testing/junit4/BaseNonConfigCoreFunctionalTestCase.java,111435,11.24%
hibernate-testing/src/main/java/org/hibernate/testing/junit4/BaseCoreFunctionalTestCase.java,144805,11.73%
hibernate-testing/src/main/java/org/hibernate/testing/junit4/BaseCoreFunctionalTestCase.java,111433,11.24%
hibernate-testing/src/main/java/org/hibernate/testing/cache/TransactionalNaturalIdRegionAccessStrategy.java,144800,11.73%
hibernate-testing/src/main/java/org/hibernate/testing/cache/TransactionalEntityRegionAccessStrategy.java,144796,11.73%
hibernate-testing/src/main/java/org/hibernate/testing/cache/TransactionalCollectionRegionAccessStrategy.java,144786,11.73%
hibernate-testing/src/main/java/org/hibernate/testing/cache/ReadWriteNaturalIdRegionAccessStrategy.java,638,61.76%
hibernate-testing/src/main/java/org/hibernate/testing/cache/ReadWriteNaturalIdRegionAccessStrategy.java,144782,11.73%
hibernate-testing/src/main/java/org/hibernate/testing/cache/ReadWriteEntityRegionAccessStrategy.java,634,62.15%
hibernate-testing/src/main/java/org/hibernate/testing/cache/ReadWriteEntityRegionAccessStrategy.java,144770,11.73%
hibernate-testing/src/main/java/org/hibernate/testing/cache/ReadWriteCollectionRegionAccessStrategy.java,630,62.54%
hibernate-testing/src/main/java/org/hibernate/testing/cache/ReadOnlyNaturalIdRegionAccessStrategy.java,144760,11.73%
hibernate-testing/src/main/java/org/hibernate/testing/cache/ReadOnlyEntityRegionAccessStrategy.java,144756,11.73%
hibernate-testing/src/main/java/org/hibernate/testing/cache/NonstrictReadWriteNaturalIdRegionAccessStrategy.java,144743,11.73%
hibernate-testing/src/main/java/org/hibernate/testing/cache/NonstrictReadWriteEntityRegionAccessStrategy.java,144731,11.73%
hibernate-testing/src/main/java/org/hibernate/testing/cache/NonstrictReadWriteCollectionRegionAccessStrategy.java,144717,11.74%
hibernate-testing/src/main/java/org/hibernate/testing/cache/NaturalIdRegionImpl.java,626,62.94%
hibernate-testing/src/main/java/org/hibernate/testing/cache/EntityRegionImpl.java,618,63.11%
hibernate-testing/src/main/java/org/hibernate/testing/cache/CollectionRegionImpl.java,607,63.76%
hibernate-testing/src/main/java/org/hibernate/testing/cache/CachingRegionFactory.java,599,63.94%
hibernate-testing/src/main/java/org/hibernate/testing/cache/BaseTransactionalDataRegion.java,557,65.89%
hibernate-testing/src/main/java/org/hibernate/testing/cache/BaseRegionAccessStrategy.java,144711,11.74%
hibernate-testing/src/main/java/org/hibernate/testing/cache/BaseRegion.java,553,66.37%
hibernate-testing/src/main/java/org/hibernate/testing/cache/BaseNaturalIdRegionAccessStrategy.java,536,67.16%
hibernate-testing/src/main/java/org/hibernate/testing/cache/BaseNaturalIdRegionAccessStrategy.java,144693,11.74%
hibernate-testing/src/main/java/org/hibernate/testing/cache/BaseGeneralDataRegion.java,531,67.98%
hibernate-testing/src/main/java/org/hibernate/testing/cache/BaseGeneralDataRegion.java,144681,11.74%
hibernate-testing/src/main/java/org/hibernate/testing/cache/BaseEntityRegionAccessStrategy.java,527,68.50%
hibernate-testing/src/main/java/org/hibernate/testing/cache/BaseEntityRegionAccessStrategy.java,144675,11.74%
hibernate-testing/src/main/java/org/hibernate/testing/cache/BaseCollectionRegionAccessStrategy.java,522,69.35%
hibernate-testing/src/main/java/org/hibernate/testing/cache/AbstractReadWriteAccessStrategy.java,144665,11.74%
hibernate-testing/src/main/java/org/hibernate/testing/DialectChecks.java,7852,85.43%
hibernate-testing/src/main/java/org/hibernate/testing/DialectChecks.java,12168,81.66%
hibernate-testing/src/main/java/org/hibernate/testing/BeforeClassOnce.java,144649,11.74%
hibernate-testing/src/main/java/org/hibernate/testing/AfterClassOnce.java,144647,11.74%
hibernate-spatial/src/test/java/org/hibernate/spatial/testing/AbstractExpectationsFactory.java,144645,11.74%
hibernate-proxool/src/main/java/org/hibernate/proxool/internal/ProxoolMessageLogger.java,144635,11.74%
hibernate-osgi/src/test/java/org/hibernate/osgi/test/client/TestTypeContributor.java,17888,70.46%
hibernate-osgi/src/test/java/org/hibernate/osgi/test/client/AuditedDataPoint.java,6182,85.28%
hibernate-osgi/src/test/java/org/hibernate/osgi/test/OsgiIntegrationTest.java,6211,85.19%
hibernate-osgi/src/test/java/org/hibernate/osgi/test/OsgiIntegrationTest.java,6102,85.09%
hibernate-osgi/src/test/java/org/hibernate/osgi/test/OsgiIntegrationTest.java,6034,84.92%
hibernate-osgi/src/main/java/org/hibernate/osgi/OsgiPersistenceProvider.java,6374,83.97%
hibernate-osgi/src/main/java/org/hibernate/osgi/OsgiPersistenceProvider.java,6333,84.02%
hibernate-jcache/src/test/java/org/hibernate/test/domain/VersionedItem.java,2857,73.75%
hibernate-jcache/src/test/java/org/hibernate/test/domain/UuidItem.java,2838,73.57%
hibernate-jcache/src/test/java/org/hibernate/test/domain/PhoneNumber.java,2801,73.22%
hibernate-jcache/src/test/java/org/hibernate/test/domain/Person.java,2723,72.46%
hibernate-jcache/src/test/java/org/hibernate/test/domain/Item.java,2612,71.29%
hibernate-jcache/src/test/java/org/hibernate/test/domain/HolidayCalendar.java,2575,70.87%
hibernate-jcache/src/test/java/org/hibernate/test/domain/EventManager.java,2509,70.11%
hibernate-jcache/src/test/java/org/hibernate/test/domain/Event.java,2269,66.95%
hibernate-jcache/src/test/java/org/hibernate/test/domain/Account.java,2195,65.83%
hibernate-jcache/src/test/java/org/hibernate/test/cache/jcache/functional/RefreshUpdatedDataTest.java,2157,65.23%
hibernate-jcache/src/test/java/org/hibernate/test/cache/jcache/functional/InsertedDataTest.java,1815,58.68%
hibernate-jcache/src/test/java/org/hibernate/test/cache/HibernateCacheTest.java,1538,51.24%
hibernate-jcache/src/test/java/org/hibernate/cache/jcache/access/ItemValueExtractor.java,1290,41.86%
hibernate-jcache/src/test/java/org/hibernate/cache/jcache/JCacheTransactionalDataRegionTest.java,4879,84.63%
hibernate-jcache/src/test/java/org/hibernate/cache/jcache/JCacheRegionTest.java,4808,84.40%
hibernate-jcache/src/test/java/org/hibernate/cache/jcache/JCacheRegionFactoryTest.java,4720,84.11%
hibernate-jcache/src/test/java/org/hibernate/cache/jcache/JCacheGeneralDataRegionTest.java,4588,83.65%
hibernate-jcache/src/test/java/org/hibernate/cache/jcache/JCacheEntityRegionTest.java,4534,83.46%
hibernate-jcache/src/main/java/org/hibernate/cache/jcache/time/Timestamper.java,1258,40.38%
hibernate-jcache/src/main/java/org/hibernate/cache/jcache/package-info.java,4500,83.33%
hibernate-jcache/src/main/java/org/hibernate/cache/jcache/access/package-info.java,4489,83.29%
hibernate-jcache/src/main/java/org/hibernate/cache/jcache/access/ReadWriteNaturalIdRegionAccessStrategy.java,4478,83.25%
hibernate-jcache/src/main/java/org/hibernate/cache/jcache/access/ReadWriteNaturalIdRegionAccessStrategy.java,1217,38.37%
hibernate-jcache/src/main/java/org/hibernate/cache/jcache/access/ReadWriteEntityRegionAccessStrategy.java,4374,82.85%
hibernate-jcache/src/main/java/org/hibernate/cache/jcache/access/ReadWriteEntityRegionAccessStrategy.java,1152,42.53%
hibernate-jcache/src/main/java/org/hibernate/cache/jcache/access/ReadWriteCollectionRegionAccessStrategy.java,4269,82.43%
hibernate-jcache/src/main/java/org/hibernate/cache/jcache/access/ReadOnlyNaturalIdRegionAccessStrategy.java,4232,82.28%
hibernate-jcache/src/main/java/org/hibernate/cache/jcache/access/ReadOnlyEntityRegionAccessStrategy.java,4173,82.03%
hibernate-jcache/src/main/java/org/hibernate/cache/jcache/access/ReadOnlyCollectionRegionAccessStrategy.java,4113,81.77%
hibernate-jcache/src/main/java/org/hibernate/cache/jcache/access/NonStrictNaturalIdRegionAccessStrategy.java,4077,81.60%
hibernate-jcache/src/main/java/org/hibernate/cache/jcache/access/NonStrictEntityRegionAccessStrategy.java,4017,81.33%
hibernate-jcache/src/main/java/org/hibernate/cache/jcache/access/NonStrictEntityRegionAccessStrategy.java,1087,47.19%
hibernate-jcache/src/main/java/org/hibernate/cache/jcache/access/NonStrictCollectionRegionAccessStrategy.java,3954,81.03%
hibernate-jcache/src/main/java/org/hibernate/cache/jcache/access/NonStrictCollectionRegionAccessStrategy.java,1082,46.95%
hibernate-jcache/src/main/java/org/hibernate/cache/jcache/access/JCacheRegionAccessStrategy.java,3917,80.85%
hibernate-jcache/src/main/java/org/hibernate/cache/jcache/access/JCacheRegionAccessStrategy.java,1075,46.60%
hibernate-jcache/src/main/java/org/hibernate/cache/jcache/access/AbstractReadWriteRegionAccessStrategy.java,809,52.53%
hibernate-jcache/src/main/java/org/hibernate/cache/jcache/access/AbstractReadWriteRegionAccessStrategy.java,3820,80.37%
hibernate-jcache/src/main/java/org/hibernate/cache/jcache/access/AbstractReadWriteRegionAccessStrategy.java,1069,46.87%
hibernate-jcache/src/main/java/org/hibernate/cache/jcache/JCacheTransactionalDataRegion.java,841,52.20%
hibernate-jcache/src/main/java/org/hibernate/cache/jcache/JCacheTransactionalDataRegion.java,3482,78.46%
hibernate-jcache/src/main/java/org/hibernate/cache/jcache/JCacheTimestampsRegion.java,3404,77.97%
hibernate-jcache/src/main/java/org/hibernate/cache/jcache/JCacheRegionFactory.java,823,52.86%
hibernate-jcache/src/main/java/org/hibernate/cache/jcache/JCacheRegionFactory.java,3382,77.82%
hibernate-jcache/src/main/java/org/hibernate/cache/jcache/JCacheRegion.java,3175,76.38%
hibernate-jcache/src/main/java/org/hibernate/cache/jcache/JCacheQueryResultsRegion.java,3102,75.82%
hibernate-jcache/src/main/java/org/hibernate/cache/jcache/JCacheNaturalIdRegion.java,3080,75.65%
hibernate-jcache/src/main/java/org/hibernate/cache/jcache/JCacheMessageLogger.java,818,53.06%
hibernate-jcache/src/main/java/org/hibernate/cache/jcache/JCacheMessageLogger.java,3035,75.29%
hibernate-jcache/src/main/java/org/hibernate/cache/jcache/JCacheGeneralDataRegion.java,2996,74.97%
hibernate-jcache/src/main/java/org/hibernate/cache/jcache/JCacheEntityRegion.java,2952,74.59%
hibernate-jcache/src/main/java/org/hibernate/cache/jcache/JCacheCollectionRegion.java,2902,74.16%
hibernate-java8/src/main/java/org/hibernate/type/Java8DateTimeTypeContributor.java,153025,12.86%
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/util/TxUtil.java,144632,11.74%
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/util/TestSynchronization.java,106919,13.34%
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/util/CacheTestUtil.java,144619,11.75%
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/util/BatchModeTransactionCoordinator.java,111431,11.24%
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/util/BatchModeTransactionCoordinator.java,106907,13.34%
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/stress/CorrectnessTestCase.java,144616,11.75%
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/query/QueryRegionImplTest.java,106890,13.33%
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/functional/cluster/SessionRefreshTest.java,144533,11.74%
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/functional/cluster/DualNodeTest.java,111409,11.25%
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/functional/VersionedTest.java,144529,11.74%
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/functional/VersionedTest.java,106872,13.32%
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/functional/TombstoneTest.java,144488,11.74%
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/functional/ReadWriteTest.java,144469,11.74%
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/functional/InvalidationTest.java,144457,11.74%
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/functional/ConcurrentWriteTest.java,144431,11.74%
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/functional/AbstractNonInvalidationTest.java,144421,11.74%
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/functional/AbstractFunctionalTest.java,111406,11.25%
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/entity/EntityRegionAccessStrategyTest.java,144387,11.74%
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/entity/EntityRegionAccessStrategyTest.java,106868,13.32%
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/collection/CollectionRegionAccessStrategyTest.java,144381,11.74%
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/collection/CollectionRegionAccessStrategyTest.java,106822,13.33%
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/access/PutFromLoadValidatorUnitTest.java,144373,11.74%
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/access/PutFromLoadValidatorUnitTest.java,106808,13.33%
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/InfinispanRegionFactoryTestCase.java,144346,11.74%
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/AbstractRegionAccessStrategyTest.java,17882,70.48%
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/AbstractRegionAccessStrategyTest.java,144326,11.73%
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/AbstractRegionAccessStrategyTest.java,111392,11.25%
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/AbstractRegionAccessStrategyTest.java,106788,13.33%
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/AbstractNonFunctionalTest.java,106736,13.34%
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/AbstractGeneralDataRegionTest.java,106715,13.34%
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/AbstractExtraAPITest.java,106699,13.34%
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/util/InvocationAfterCompletion.java,111390,11.25%
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/util/EndInvalidationCommand.java,144300,11.73%
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/timestamp/TimestampsRegionImpl.java,106693,13.34%
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/timestamp/ClusteredTimestampsRegionImpl.java,106687,13.34%
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/query/QueryResultsRegionImpl.java,111376,11.25%
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/query/QueryResultsRegionImpl.java,106683,13.35%
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/naturalid/ReadWriteAccess.java,106671,13.35%
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/naturalid/ReadOnlyAccess.java,106665,13.35%
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/impl/BaseGeneralDataRegion.java,106641,13.35%
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/entity/ReadWriteAccess.java,106635,13.35%
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/entity/ReadOnlyAccess.java,106629,13.35%
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/collection/CollectionAccess.java,106607,13.35%
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/access/TxPutFromLoadInterceptor.java,144293,11.73%
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/access/TxInvalidationInterceptor.java,144280,11.73%
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/access/TxInvalidationCacheAccessDelegate.java,144263,11.73%
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/access/TxInvalidationCacheAccessDelegate.java,106593,13.36%
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/access/TombstoneSynchronization.java,111364,11.25%
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/access/TombstoneAccessDelegate.java,144259,11.74%
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/access/TombstoneAccessDelegate.java,111355,11.25%
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/access/TombstoneAccessDelegate.java,106583,13.36%
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/access/RemovalSynchronization.java,111353,11.25%
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/access/PutFromLoadValidator.java,144248,11.74%
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/access/PutFromLoadValidator.java,111346,11.25%
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/access/PutFromLoadValidator.java,106561,13.36%
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/access/NonTxPutFromLoadInterceptor.java,144221,11.74%
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/access/NonTxInvalidationCacheAccessDelegate.java,144218,11.74%
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/access/NonTxInvalidationCacheAccessDelegate.java,111344,11.25%
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/access/NonTxInvalidationCacheAccessDelegate.java,106519,13.37%
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/access/NonStrictAccessDelegate.java,144204,11.74%
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/access/NonStrictAccessDelegate.java,111342,11.25%
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/access/NonStrictAccessDelegate.java,106505,13.37%
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/access/InvalidationSynchronization.java,144191,11.74%
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/access/InvalidationCacheAccessDelegate.java,144189,11.74%
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/access/InvalidationCacheAccessDelegate.java,106485,13.37%
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/access/FutureUpdateSynchronization.java,111340,11.25%
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/access/AccessDelegate.java,144186,11.74%
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/access/AccessDelegate.java,106473,13.37%
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/TypeOverrides.java,144170,11.74%
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/InfinispanRegionFactory.java,517,70.21%
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/reventity/DifferentDBSchemaTest.java,144153,11.74%
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/query/entities/Address.java,12162,81.65%
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/query/embeddables/Person.java,17777,70.80%
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/query/embeddables/NameInfo.java,17679,70.64%
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/query/embeddables/EmbeddableQuery.java,17602,70.51%
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/query/AssociationToOneLeftJoinQueryTest.java,9579,80.56%
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/onetomany/relatedid/Employee.java,16906,70.38%
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/onetomany/relatedid/Company.java,16801,70.19%
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/onetomany/relatedid/AuditRelatedIdInTest.java,16700,70.01%
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/onetomany/relatedid/AuditRelatedIdInTest.java,15039,71.73%
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/naturalid/JoinColumnNaturalIdTest.java,13243,79.14%
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/naturalid/Device.java,13149,78.99%
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/naturalid/Customer.java,13061,78.85%
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/naturalid/Account.java,12927,78.63%
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/modifiedflags/HasChangedUnversionedProperties.java,18999,68.72%
