Filename, # of times changed, Code Churn
hibernate-core/src/main/java/org/hibernate/query/internal/AbstractProducedQuery.java, 26, 2076
hibernate-core/src/main/java/org/hibernate/internal/SessionImpl.java, 26, 10636
hibernate-core/src/main/java/org/hibernate/internal/SessionFactoryImpl.java, 22, 7101
hibernate-core/src/main/java/org/hibernate/internal/AbstractSharedSessionContract.java, 16, 1877
hibernate-core/src/main/java/org/hibernate/query/internal/NativeQueryImpl.java, 13, 952
hibernate-core/src/main/java/org/hibernate/jpa/boot/internal/EntityManagerFactoryBuilderImpl.java, 12, 1425
hibernate-core/src/main/java/org/hibernate/query/internal/QueryParameterBindingsImpl.java, 11, 1089
hibernate-core/src/main/java/org/hibernate/procedure/internal/ProcedureCallImpl.java, 9, 1461
hibernate-core/src/main/java/org/hibernate/engine/spi/SharedSessionContractImplementor.java, 9, 618
hibernate-core/src/main/java/org/hibernate/query/Query.java, 8, 2939
hibernate-core/src/main/java/org/hibernate/boot/internal/SessionFactoryBuilderImpl.java, 8, 3874
hibernate-core/src/main/java/org/hibernate/engine/transaction/internal/TransactionImpl.java, 7, 320
hibernate-core/src/main/java/org/hibernate/engine/spi/SessionDelegatorBaseImpl.java, 7, 1921
hibernate-entitymanager/src/test/java/org/hibernate/jpa/test/query/AddNamedQueryTest.java, 5, 438
hibernate-core/src/main/java/org/hibernate/query/internal/QueryParameterBindingImpl.java, 5, 144
hibernate-core/src/main/java/org/hibernate/query/internal/ParameterMetadataImpl.java, 5, 283
hibernate-core/src/main/java/org/hibernate/query/criteria/internal/CriteriaBuilderImpl.java, 5, 1611
hibernate-core/src/main/java/org/hibernate/metamodel/internal/MetamodelImpl.java, 5, 1019
hibernate-core/src/main/java/org/hibernate/engine/spi/SessionFactoryImplementor.java, 5, 1051
hibernate-core/src/main/java/org/hibernate/dialect/Dialect.java, 5, 4757
hibernate-core/src/main/java/org/hibernate/cfg/AvailableSettings.java, 5, 3196
hibernate-core/src/main/java/org/hibernate/boot/spi/SessionFactoryOptions.java, 5, 442
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/AbstractRegionAccessStrategyTest.java, 4, 1001
hibernate-envers/src/main/java/org/hibernate/envers/internal/synchronization/AuditProcess.java, 4, 464
hibernate-entitymanager/src/test/java/org/hibernate/jpa/test/transaction/TransactionJoiningTest.java, 4, 626
hibernate-entitymanager/src/test/java/org/hibernate/jpa/test/transaction/SynchronizationTypeTest.java, 4, 434
hibernate-entitymanager/src/test/java/org/hibernate/jpa/test/query/QueryTest.java, 4, 2388
