id,TryStartLine,TryEndLine,TryLOC,CatchStartLine,CatchEndLine,CatchLOC,CatchStart,CatchLength,MethodStartLine,MethodEndLine,MethodLOC,Binded,RecoveredBinding,Kind,Checked,ParentNodeType,RecoverFlag,InnerCatch,ParentTryStartLine,Logged,MultiLog,Abort,Default,GetCause,OtherInvocation,NumThrown,NumThrowNew,NumThrowWrapCurrentException,Return,Continue,EmptyBlock,CatchException,FinallyThrowing,NumDistinctMethods,NumMethodsNotBinded,NumDistinctExceptions,NumSpecificHandler,NumSubsumptionHandler,NumSupersumptionHandler,NumOtherHandler,MaxLevel,NumIsBindingInfo,NumIsDocSemantic,NumIsDocSyntax,NumIsThrow,ToDo,ExceptionType,ParentMethod,ParentType,Filename,StartLine
1,634,638,2,638,641,1,21035,22,633,649,14,1,0,-9,0,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,"org.hibernate.result.NoMoreReturnsException","execute()","org.hibernate.procedure.internal.ProcedureCallImpl","hibernate-core\src\main\java\org\hibernate\procedure\internal\ProcedureCallImpl.java",638
2,708,720,10,720,723,1,23245,19,707,731,22,1,0,-9,0,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,"org.hibernate.result.NoMoreReturnsException","getUpdateCount()","org.hibernate.procedure.internal.ProcedureCallImpl","hibernate-core\src\main\java\org\hibernate\procedure\internal\ProcedureCallImpl.java",720
3,736,744,5,744,750,1,23847,239,735,758,17,1,0,-9,0,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,1,0,0,0,1,1,0,0,0,1,0,"org.hibernate.result.NoMoreReturnsException","getResultList()","org.hibernate.procedure.internal.ProcedureCallImpl","hibernate-core\src\main\java\org\hibernate\procedure\internal\ProcedureCallImpl.java",744
4,46,50,2,50,54,2,1544,104,43,163,109,1,0,-9,0,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,8,0,0,1,7,9,1,0,3,5,0,"org.hibernate.MappingNotFoundException","testNotFound()","org.hibernate.test.mappingexception.MappingExceptionTest","hibernate-core\src\test\java\org\hibernate\test\mappingexception\MappingExceptionTest.java",50
5,59,63,2,63,67,2,1972,104,43,163,109,1,0,-9,0,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,8,0,0,1,7,9,1,0,3,5,0,"org.hibernate.MappingNotFoundException","testNotFound()","org.hibernate.test.mappingexception.MappingExceptionTest","hibernate-core\src\test\java\org\hibernate\test\mappingexception\MappingExceptionTest.java",63
6,72,76,2,76,80,2,2444,120,43,163,109,1,0,-9,0,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,4,5,0,0,1,4,7,0,0,1,4,0,"org.hibernate.MappingNotFoundException","testNotFound()","org.hibernate.test.mappingexception.MappingExceptionTest","hibernate-core\src\test\java\org\hibernate\test\mappingexception\MappingExceptionTest.java",76
7,85,89,2,89,93,2,2881,104,43,163,109,1,0,-9,0,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,3,0,0,1,0,0,"org.hibernate.MappingNotFoundException","testNotFound()","org.hibernate.test.mappingexception.MappingExceptionTest","hibernate-core\src\test\java\org\hibernate\test\mappingexception\MappingExceptionTest.java",89
8,98,102,2,102,106,2,3300,108,43,163,109,1,0,-9,0,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,1,0,0,1,0,3,0,0,1,0,0,"org.hibernate.MappingNotFoundException","testNotFound()","org.hibernate.test.mappingexception.MappingExceptionTest","hibernate-core\src\test\java\org\hibernate\test\mappingexception\MappingExceptionTest.java",102
9,124,128,2,128,132,2,4109,96,43,163,109,1,0,-9,0,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,4,0,0,1,3,6,0,0,1,3,0,"org.hibernate.MappingNotFoundException","testNotFound()","org.hibernate.test.mappingexception.MappingExceptionTest","hibernate-core\src\test\java\org\hibernate\test\mappingexception\MappingExceptionTest.java",128
10,137,141,2,141,145,2,4515,96,43,163,109,1,0,-9,0,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,3,4,0,0,1,3,7,0,0,1,3,0,"org.hibernate.MappingNotFoundException","testNotFound()","org.hibernate.test.mappingexception.MappingExceptionTest","hibernate-core\src\test\java\org\hibernate\test\mappingexception\MappingExceptionTest.java",141
11,78,83,1,84,89,1,2689,133,39,99,41,1,1,-9,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,0,0,0,0,0,"MalformedURLException","getJarURLFromURLEntry(URL,String)","org.hibernate.boot.archive.internal.ArchiveHelper","hibernate-core\src\main\java\org\hibernate\boot\archive\internal\ArchiveHelper.java",84
12,49,91,25,91,96,1,2874,128,39,99,41,1,1,-9,0,31,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,21,21,0,0,0,0,0,1,0,0,0,0,0,"MalformedURLException","getJarURLFromURLEntry(URL,String)","org.hibernate.boot.archive.internal.ArchiveHelper","hibernate-core\src\main\java\org\hibernate\boot\archive\internal\ArchiveHelper.java",91
13,111,115,1,115,124,6,3466,217,109,126,13,1,1,-9,0,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,"MalformedURLException","getURLFromPath(String)","org.hibernate.boot.archive.internal.ArchiveHelper","hibernate-core\src\main\java\org\hibernate\boot\archive\internal\ArchiveHelper.java",115
