Filename,countCatchAndReturnNull,countOverCatch,countCatchAndDoNothing,countNestedTryBlock,countGetCause,countKitchenSink,countDestructiveWrapping,countOverCatchAndAbort,countCatchGeneric,countInterruptedException,countIncompleteImplementation,countDummyHandler
AnnotationsIllustrationTest.java,0,0,0,0,0,0,0,0,1,0,0,0
Event.java,0,0,0,0,0,0,0,0,1,0,0,0
Event.java,0,0,0,0,0,0,0,0,1,0,0,0
NativeApiIllustrationTest.java,0,0,0,0,0,0,0,0,1,0,0,0
EntityManagerIllustrationTest.java,0,0,0,0,0,0,0,0,1,0,0,0
Event.java,0,0,0,0,0,0,0,0,1,0,0,0
EnversIllustrationTest.java,0,0,0,0,0,0,0,0,1,0,0,0
Event.java,0,0,0,0,0,0,0,0,1,0,0,0
ElementCollectionAccessType.java,0,0,0,0,0,0,0,0,1,0,0,0
EmbeddableAccessType.java,0,0,0,0,0,0,0,0,1,0,0,0
EmbeddedAccessType.java,0,0,0,0,0,0,0,0,1,0,0,0
SimpleEntityFieldAccess.java,0,0,0,0,0,0,0,0,1,0,0,0
SimpleEntityPropertyAccess.java,0,0,0,0,0,0,0,0,1,0,0,0
SimpleEntityPropertyAccessOverride.java,0,0,0,0,0,0,0,0,1,0,0,0
listing10.java,0,0,0,0,0,0,0,0,1,0,0,0
Address.java,0,0,0,0,0,0,0,0,1,0,0,0
component-safe-implicit-naming.java,0,0,0,0,0,0,0,0,1,0,0,0
Contact-AttributeOverride.java,0,0,0,0,0,0,0,0,1,0,0,0
Contact.java,0,0,0,0,0,0,0,0,1,0,0,0
Name.java,0,0,0,0,0,0,0,0,1,0,0,0
Person.java,0,0,0,0,0,0,0,0,1,0,0,0
Person_alt.java,0,0,0,0,0,0,0,0,1,0,0,0
Identifier.java,0,0,0,0,0,0,0,0,1,0,0,0
Instant.java,0,0,0,0,0,0,0,0,1,0,0,0
listing1.java,0,0,0,0,0,0,0,0,1,0,0,0
listing2.java,0,0,0,0,0,0,0,0,1,0,0,0
listing3.java,0,0,0,0,0,0,0,0,1,0,0,0
listing4.java,0,0,0,0,0,0,0,0,1,0,0,0
listing5.java,0,0,0,0,0,0,0,0,1,0,0,0
listing6.java,0,0,0,0,0,0,0,0,1,0,0,0
listing7.java,0,0,0,0,0,0,0,0,1,0,0,0
listing8.java,0,0,0,0,0,0,0,0,1,0,0,0
listing9.java,0,0,0,0,0,0,0,0,1,0,0,0
SimpleEntity.java,0,0,0,0,0,0,0,0,1,0,0,0
SimpleEntityWithTable.java,0,0,0,0,0,0,0,0,1,0,0,0
Timestamp.java,0,0,0,0,0,0,0,0,1,0,0,0
Version.java,0,0,0,0,0,0,0,0,1,0,0,0
CompositeIdAssociationPrimaryKeyJoinColumn.java,0,0,0,0,0,0,0,0,1,0,0,0
CompositeIdAssociations.java,0,0,0,0,0,0,0,0,1,0,0,0
CompositeIdAssociationsQuery.java,0,0,0,0,0,0,0,0,1,0,0,0
ConfiguredSequence.java,0,0,0,0,0,0,0,0,1,0,0,0
DerivedIdentifier.java,0,0,0,0,0,0,0,0,1,0,0,0
EmbeddedId1.java,0,0,0,0,0,0,0,0,1,0,0,0
EmbeddedId2.java,0,0,0,0,0,0,0,0,1,0,0,0
IdClass1.java,0,0,0,0,0,0,0,0,1,0,0,0
IdClass2.java,0,0,0,0,0,0,0,0,1,0,0,0
IdClass3.java,0,0,0,0,0,0,0,0,1,0,0,0
NamedSequence.java,0,0,0,0,0,0,0,0,1,0,0,0
SimpleAssigned.java,0,0,0,0,0,0,0,0,1,0,0,0
SimpleGenerated.java,0,0,0,0,0,0,0,0,1,0,0,0
UnnamedSequence.java,0,0,0,0,0,0,0,0,1,0,0,0
UnnamedTable.java,0,0,0,0,0,0,0,0,1,0,0,0
UUIDCustomVersionOneStrategy.java,0,0,0,0,0,0,0,0,1,0,0,0
UUIDRandom.java,0,0,0,0,0,0,0,0,1,0,0,0
MutableNaturalIdMapping.java,0,0,0,0,0,0,0,0,1,0,0,0
MutableNaturalIdSynchronization.java,0,0,0,0,0,0,0,0,1,0,0,0
NaturalIdCaching.java,0,0,0,0,0,0,0,0,1,0,0,0
NaturalIdLoadAccessUsage.java,0,0,0,0,0,0,0,0,1,0,0,0
NonSimpleNaturalIdMapping.java,0,0,0,0,0,0,0,0,1,0,0,0
SimpleBasicNaturalIdMapping.java,0,0,0,0,0,0,0,0,1,0,0,0
SimpleCompositeNaturalIdMapping.java,0,0,0,0,0,0,0,0,1,0,0,0
SimpleNaturalIdLoadAccessUsage.java,0,0,0,0,0,0,0,0,1,0,0,0
NativeHibernateUtil.java,0,0,0,0,0,0,0,0,1,0,0,0
UnmanagedJPAHibernateUtil.java,0,0,0,0,0,0,0,0,1,0,0,0
AuditInterceptor.java,0,0,0,0,0,0,0,0,1,0,0,0
jacc-event-reg-example.java,0,0,0,0,0,0,0,0,1,0,0,0
JpaCallbacksExample.java,0,0,0,0,0,0,0,0,1,0,0,0
LoadListenerExample.java,0,0,0,0,0,0,0,0,1,0,0,0
SessionFactoryScopedExample.java,0,0,0,0,0,0,0,0,1,0,0,0
SessionScopedExample.java,0,0,0,0,0,0,0,0,1,0,0,0
Department.java,0,0,0,0,0,0,0,0,1,0,0,0
Employee.java,0,0,0,0,0,0,0,0,1,0,0,0
FetchOverrides.java,0,0,0,0,0,0,0,0,1,0,0,0
Login.java,0,0,0,0,0,0,0,0,1,0,0,0
LoginScalar.java,0,0,0,0,0,0,0,0,1,0,0,0
Project.java,0,0,0,0,0,0,0,0,1,0,0,0
ProjectsForAnEmployeeCriteria.java,0,0,0,0,0,0,0,0,1,0,0,0
ProjectsForAnEmployeeFetchProfile.java,0,0,0,0,0,0,0,0,1,0,0,0
ProjectsForAnEmployeeHql.java,0,0,0,0,0,0,0,0,1,0,0,0
MultiTenantConnectionProviderImpl-multi-cp.java,0,0,0,0,0,0,0,0,1,0,0,0
MultiTenantConnectionProviderImpl-single-cp.java,0,0,0,0,0,0,2,0,0,0,0,0
tenant-identifier-from-SessionFactory.java,0,0,0,0,0,0,2,0,0,0,0,0
CheckingLazinessWithHibernate.java,0,0,0,0,0,0,2,0,0,0,0,0
CheckingLazinessWithJPA.java,0,0,0,0,0,0,2,0,0,0,0,0
CheckingLazinessWithJPA2.java,0,0,0,0,0,0,2,0,0,0,0,0
ContainsWithEM.java,0,0,0,0,0,0,2,0,0,0,0,0
